Key,en,en-GB,de,el,es,fr,hr,id,it,ja,ko,ms,nl,pt-PT,th,vi,zh-Hans,zh-Hant,狀態/判斷
%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,系統組合/格式
%lldm,%lld m,,,,,,,,,,,,,,,,,,系統組合/格式
%lldmin,%lld min,,,,,,,,,,,,,,,,,,系統組合/格式
10L (Steel),,,,,,,,,,,,,,,,,,,保留原文(單位/型號/App名)
12L (Steel),,,,,,,,,,,,,,,,,,,保留原文(單位/型號/App名)
AL100 (14L),,,,,,,,,,,,,,,,,,,保留原文(單位/型號/App名)
About,About,About,Über,Σχετικά,Acerca de,À propos,O aplikaciji,Tentang,Info,情報,정보,Mengenai,Over,Sobre,เกี่ยวกับ,Giới thiệu,关于,關於,OK
Active,Active,Active,Aktiv,Ενεργό,Activo,Actif,Aktivno,Aktif,Attivo,有効,활성,Aktif,Actief,Ativo,เปิดใช้งาน,Hoạt động,已启用,已啟用,OK
Add New Dive,Add New Dive,Add New Dive,Tauchgang hinzufügen,Προσθήκη κατάδυσης,Añadir inmersión,Ajouter une plongée,Dodaj novi uron,Tambah Penyelaman Baru,Aggiungi immersione,新しいダイビングを追加,새 다이빙 추가,Tambah Selam Baru,Voeg duik toe,Adicionar mergulho,เพิ่มไดฟ์ใหม่,Thêm lặn mới,新增潜水,新增潛水,OK
Air,Air,Air,Luft,Αέρας,Aire,Air,Zrak,Udara,Aria,空気,공기,Udara,Lucht,Ar,อากาศ,Không khí,空气,空氣,OK
Air Temperature,Air Temperature,Air Temperature,Lufttemperatur,Θερμοκρασία αέρα,Temperatura del aire,Température de l'air,Temperatura zraka,Suhu udara,Temperatura dell'aria,気温,기온,Suhu udara,Luchttemperatuur,Temperatura do ar,อุณหภูมิอากาศ,Nhiệt độ không khí,气温,氣溫,OK
Air Temperature: %.1f degrees Celsius,Air Temperature: %.1f °C,Air Temperature: %.1f °C,Lufttemperatur: %.1f °C,Θερμοκρασία αέρα: %.1f °C,Temperatura del aire: %.1f °C,Température de l'air : %.1f °C,Temperatura zraka: %.1f °C,Suhu udara: %.1f °C,Temperatura dell'aria: %.1f °C,気温：%.1f °C,기온: %.1f °C,Suhu udara: %.1f °C,Luchttemperatuur: %.1f °C,Temperatura do ar: %.1f °C,อุณหภูมิอากาศ: %.1f °C,Nhiệt độ không khí: %.1f °C,气温：%.1f °C,氣溫：%.1f °C,OK
Altitude,Altitude,Altitude,Höhe,Υψόμετρο,Altitud,Altitude,Nadmorska visina,Ketinggian,Altitudine,高地,고도,Altitud,Altitude,Altitude,ความสูง,Altitude,高海拔,高海拔,OK
Aluminum,Aluminum,Aluminium,Aluminium,Αλουμίνιο,Aluminio,Aluminium,Aluminijum,Aluminium,Alluminio,アルミニウム,알루미늄,Aluminium,Aluminium,Alumínio,อลูมิเนียม,Nhôm,铝,鋁,OK
App Language,App Language,App Language,App-Sprache,Γλώσσα εφαρμογής,Idioma de la app,Langue de l'app,Jezik aplikacije,Bahasa Aplikasi,Lingua dell'app,Appの言語,앱 언어,Bahasa Aplikasi,App-taal,Idioma da app,ภาษาแอป,Ngôn ngữ ứng dụng,App 语言,App 語言,OK
Auto-detects format from file content,Auto-detects format from file content,Auto-detects format from file content,Format automatisch erkennen,Αυτόματη ανίχνευση μορφής,Detecta formato del contenido,Détection automatique du format,Automatski detektira format,Deteksi otomatis format file,Rileva formato dal contenuto,ファイル内容から形式を自動検出,파일 내용에서 형식 자동 감지,Kesan format secara automatik,Formaat automatisch detecteren,Deteta o formato pelo conteúdo,ตรวจพบรูปแบบอัตโนมัติ,Tự động phát hiện định dạng,自动从文件内容检测格式,自動從檔案內容偵測格式,OK
Average Depth,Average Depth,Average Depth,Durchschnittliche Tiefe,Μέσο βάθος,Profundidad promedio,Profondeur moyenne,Prosječna dubina,Kedalaman rata-rata,Profondità media,平均深度,평균 깊이,Kedalaman rata-rata,Gemiddelde diepte,Profundidade média,ความลึกเฉลี่ย,Độ sâu trung bình,平均深度,平均深度,OK
Basic Info,Basic Info,Basic Info,Basisinfos,Βασικές πληροφορίες,Información básica,Infos de base,Osnovne informacije,Info Dasar,Info di base,基本情報,기본 정보,Maklumat Asas,Basisinformatie,Informações básicas,ข้อมูลพื้นฐาน,Thông tin cơ bản,基本信息,基本資訊,OK
Buddy,Buddy,Buddy,Buddy,Ζευγάρι,Compañero,Binôme,Ronilački partner,Buddy,Compagno,バディ,버디,Buddy,Buddy,Dupla,คู่ดำน้ำ,Bạn lặn,潜伴,潛伴,OK
Buddy Name (optional),Buddy Name (optional),Buddy Name (optional),Name des Buddys (optional),Όνομα ζευγαριού (προαιρετικό),Nombre del compañero (opcional),Nom du binôme (facultatif),Ime partnera (opcionalno),Nama Buddy (opsional),Nome compagno (opzionale),バディ名（任意）,버디 이름 (선택),Nama Buddy (pilihan),Naam buddy (optioneel),Nome da dupla (opcional),ชื่อคู่ดำน้ำ (ไม่บังคับ),Tên bạn lặn (tùy chọn),潜伴姓名（可选）,潛伴姓名（可選）,OK
Buy Premium for %@,Buy Premium for %@,Buy Premium for %@,Premium kaufen für %@,Αγορά Premium για %@,Comprar Premium por %@,Acheter Premium pour %@,Kupi Premium za %@,Beli Premium seharga %@,Acquista Premium per %@,%@でプレミアムを購入,%@으로 프리미엄 구매,Beli Premium untuk %@,Koop Premium voor %@,Comprar Premium por %@,ซื้อพรีเมียมในราคา %@,Mua Premium với giá %@,以 %@ 购买专业版,以 %@ 購買進階版,OK
Calm,Calm,Calm,Ruhig,Ήσυχα,Calma,Calme,Mirno,Tenang,Calmo,穏やか,잔잔,Tenang,Kalm,Calmo,สงบ,Yên tĩnh,平静,平靜,OK
Cancel,Cancel,Cancel,Abbrechen,Ακύρωση,Cancelar,Annuler,Odustani,Batal,Annulla,キャンセル,취소,Batal,Annuleer,Cancelar,ยกเลิก,Hủy,取消,取消,OK
Clear,Clear,Clear,Klar,Καθαρός,Despejado,Dégagé,Čisto,Jernih,Limpido,晴天,맑음,Jernih,Helder,Céu limpo,สะอาด,Trong suốt,晴空万里,晴空萬里,OK
Close,Close,Close,Schließen,Κλείσιμο,Cerrar,Fermer,Zatvori,Tutup,Chiudi,閉じる,닫기,Tutup,Sluit,Fechar,ปิด,Đóng,关闭,關閉,OK
Cloudy,Cloudy,Cloudy,Bewölkt,Νεφελώδης,Nublado,Nuageux,Oblačno,Berawan,Nuvoloso,曇り,흐림,Berawan,Bewolkt,Nublado,มีเมฆ,Có mây,多云,多雲,OK
Conditions,Conditions,Conditions,Bedingungen,Συνθήκες,Condiciones,Conditions,Uvjeti,Kondisi,Condizioni,コンディション,컨디션,Keadaan,Omstandigheden,Condições,สภาพแวดล้อม,Điều kiện,环境条件,環境條件,OK
Coordinates,Coordinates,Coordinates,Koordinaten,Συντεταγμένες,Coordenadas,Coordonnées,Koordinate,Koordinat,Coordinate,座標,좌표,Koordinat,Coördinaten,Coordenadas,พิกัด,Tọa độ,坐标,座標,OK
Cylinder Material,Cylinder Material,Cylinder Material,Zylindermaterial,Υλικό κυλίνδρου,Material del cilindro,Matériau du cylindre,Materijal cilindra,Material silinder,Materiale della bombola,シリンダーマテリアル,실린더 재료,Bahan silinder,Cilindermaterialen,Material do cilindro,วัสดุสูบน้ำ,Chất liệu xi lanh,气瓶材质,氣瓶材質,OK
Cylinder Size,Cylinder Size,Cylinder Size,Zylindergröße,Μέγεθος κυλίνδρου,Tamaño del cilindro,Taille du cylindre,Veličina cilindra,Ukuran silinder,Dimensioni della bombola,シリンダーサイズ,실린더 크기,Ukuran silinder,Cylindergrootte,Tamanho do cilindro,ขนาดสูบน้ำ,Kích thước xi lanh,气瓶容量,氣瓶容量,OK
Date & Time,Date & Time,Date & Time,Datum & Uhrzeit,Ημερομηνία & Ώρα,Fecha y hora,Date et heure,Datum i vrijeme,Tanggal & Waktu,Data e ora,日時,날짜 및 시간,Tarikh & Masa,Datum en tijd,Data e hora,วันที่และเวลา,Ngày & Giờ,日期与时间,日期與時間,OK
Deepest,Deepest,Deepest,Tiefste,Βαθύτερη,Más profundo,Le plus profond,Najdublje,Terdalam,Più profondo,最深,최고 수심,Paling dalam,Diepste,Mais profundo,ลึกที่สุด,Sâu nhất,最深,最深,OK
Delete,Delete,Delete,Löschen,Διαγραφή,Eliminar,Supprimer,Izbriši,Hapus,Elimina,削除,삭제,Padam,Verwijder,Apagar,ลบ,Xóa,删除,刪除,OK
Delete Dive,Delete Dive,Delete Dive,Tauchgang löschen,Διαγραφή κατάδυσης,Eliminar inmersión,Supprimer la plongée,Izbriši uron,Hapus Penyelaman,Elimina immersione,ダイビングを削除,다이빙 삭제,Padam Selam,Verwijder duik,Apagar mergulho,ลบไดฟ์,Xóa chuyến lặn,删除潜水,刪除潛水,OK
Delete this dive log?,Delete this dive log?,Delete this dive log?,Dieses Tauchprotokoll löschen?,Διαγραφή αυτού του αρχείου καταδύσεων;,¿Eliminar este registro de inmersión?,Supprimer ce carnet de plongée ?,Izbrisati ovaj dnevnik urona?,Hapus log penyelaman ini?,Eliminare questo log d'immersione?,このダイブログを削除しますか？,이 다이빙 로그를 삭제하시겠습니까?,Padam log selam ini?,Dit duiklogboek verwijderen?,Apagar este registo de mergulho?,ลบบันทึกการดำน้ำนี้หรือไม่?,Xóa nhật ký lặn này?,删除这条潜水记录？,刪除這筆潛水紀錄？,OK
Depth,Depth,Depth,Tiefe,Βάρος κατάδυσης,Profundidad,Profondeur,Dubina,Kedalaman,Profondità,水深,수심,Kedalaman,Diepte,Profundidade,ความลึก,Độ sâu,深度,深度,OK
Dive Data,Dive Data,Dive Data,Tauchdaten,Δεδομένα κατάδυσης,Datos de la inmersión,Données de plongée,Podaci o uronu,Data Penyelaman,Dati immersione,ダイビングデータ,다이빙 데이터,Data Selam,Duikgegevens,Dados de mergulho,ข้อมูลไดฟ์,Dữ liệu lặn,潜水数据,潛水數據,OK
Dive Data & Time,Dive Data & Time,Dive Data & Time,Tauchdaten & Zeit,Δεδομένα & Ώρα κατάδυσης,Datos y hora de inmersión,Données & heure de plongée,Podaci i vrijeme urona,Data & Waktu Penyelaman,Dati & ora dell'immersione,ダイビングデータと日時,다이빙 데이터 및 시간,Data & Masa Selam,Duikgegevens & tijd,Dados e hora do mergulho,ข้อมูลและเวลาดำน้ำ,Dữ liệu & thời gian lặn,潜水数据与时间,潛水數據與時間,OK
Dive Details,Dive Details,Dive Details,Tauchdetails,Λεπτομέρειες κατάδυσης,Detalles de la inmersión,Détails de la plongée,Detalji urona,Detail Penyelaman,Dettagli immersione,ダイビングの詳細,다이빙 상세 정보,Butiran Selam,Duikdetails,Detalhes do mergulho,รายละเอียดไดฟ์,Chi tiết chuyến lặn,潜水详情,潛水詳細資料,OK
Dive Info,Dive Info,Dive Info,Tauchinfos,Πληροφορίες κατάδυσης,Información de inmersión,Infos de plongée,Informacije o uronu,Informasi Penyelaman,Info immersione,ダイビング情報,다이빙 정보,Maklumat Selam,Duikinfo,Informações do mergulho,ข้อมูลทั่วไป,Thông tin chuyến lặn,潜水信息,潛水資訊,OK
Dive Logbook,Dive Logbook,Dive Logbook,Taucherlogbuch,Ημερολόγιο καταδύσεων,Diario de inmersiones,Carnet de plongée,Ronilački logbook,Logbook Penyelaman,Giornale di immersione,ダイビングログ,다이빙 로그북,Log selam,Duiklogboek,Diário de mergulhos,สมุดบันทึกการดำน้ำ,Nhật ký lặn,潜水日志,潛水日誌,OK
Dive Notes,Dive Notes,Dive Notes,Tauch-Notizen,Σημειώσεις Κατάδυσης,Notas de Buceo,Notes de Plongée,Bilješke Urona,Catatan Penyelaman,Note di Immersione,ダイビングノート,다이빙 메모,Nota Menyelam,Duikaantekeningen,Notas de Mergulho,บันทึกการดำน้ำ,Ghi Chú Lặn,潜水备注,潛水備註,OK
Dive Profile,Dive Profile,Dive Profile,Tauchprofil,Προφίλ κατάδυσης,Perfil de inmersión,Profil de plongée,Profil urona,Profil Penyelaman,Profilo di immersione,ダイブプロフィール図,다이빙 프로필,Profil Selam,Duikprofiel,Perfil de mergulho,โปรไฟล์การดำน้ำ,Biểu đồ hồ sơ lặn,潜水剖面图,潛水剖面圖,OK
Dive Site,Dive Site,Dive Site,Tauchplatz,Τοποθεσία κατάδυσης,Punto de inmersión,Site de plongée,Lokacija urona,Lokasi Penyelaman,Punto di immersione,ダイビングポイント,다이빙 사이트,Tapak Selam,Duiklocatie,Local de mergulho,จุดดำน้ำ,Địa điểm lặn,潜水地点,潛水地點,OK
Dive Time,Dive Time,Dive Time,Tauchzeit,Χρόνος κατάδυσης,Tiempo de inmersión,Temps de plongée,Vrijeme urona,Waktu Penyelaman,Tempo di immersione,潜水時間,잠수 시간,Masa Selam,Duiktijd,Tempo de mergulho,เวลาดำน้ำ,Thời gian lặn,潜水时间,潛水時間,OK
Dive site map will be available in a future update.,Dive site map will be available in a future update.,The dive site map will be available in a future update.,Die Karte der Tauchplätze wird in einem zukünftigen Update verfügbar sein.,Ο χάρτης τοποθεσιών κατάδυσης θα είναι διαθέσιμος σε μελλοντική ενημέρωση.,El mapa de puntos de inmersión estará disponible en una próxima actualización.,La carte des sites sera disponible dans une prochaine mise à jour.,Karta lokacija urona bit će dostupna u budućem ažuriranju.,Peta lokasi penyelaman akan tersedia dalam pembaruan mendatang.,La mappa dei punti di immersione sarà disponibile in un prossimo aggiornamento.,ダイビングポイントのマップは今後のアップデートで利用可能になります。,다이빙 사이트 지도는 향후 업데이트에서 지원될 예정입니다.,Peta tapak selam akan tersedia dalam kemas kini masa hadapan.,De duiklocatiekaart komt beschikbaar in een toekomstige update.,O mapa dos locais de mergulho estará disponível numa atualização futura.,แผนที่จุดดำน้ำจะพร้อมใช้งานในการอัปเดตในอนาคต.,Bản đồ địa điểm lặn sẽ khả dụng trong bản cập nhật tương lai.,潜点地图将在后续版本中提供。,潛點地圖將在後續版本中提供。,OK
Dives,Dives,Dives,Tauchgänge,Καταδύσεις,Inmersiones,Plongées,Uroni,Penyelaman,Immersioni,ダイビング,다이빙,Selaman,Duiken,Mergulhos,ไดฟ์,Lần lặn,潜水,潛水,OK
Dives with GPS coordinates will appear on this map.,Dives with GPS coordinates will appear on this map.,Dives with GPS coordinates will appear on this map.,Tauchgänge mit GPS-Koordinaten werden auf dieser Karte angezeigt.,Οι καταδύσεις με συντεταγμένες GPS θα εμφανίζονται σε αυτόν τον χάρτη.,Las inmersiones con coordenadas GPS aparecerán en este mapa.,Les plongées avec coordonnées GPS apparaîtront sur cette carte.,Uroni s GPS koordinatama prikazat će se na ovoj karti.,Penyelaman dengan koordinat GPS akan muncul di peta ini.,Le immersioni con coordinate GPS appariranno su questa mappa.,GPS座標を持つダイビングがこのマップに表示されます。,GPS 좌표가 있는 다이빙이 이 지도에 표시됩니다.,Selam dengan koordinat GPS akan muncul pada peta ini.,Duiken met GPS-coördinaten verschijnen op deze kaart.,Os mergulhos com coordenadas GPS aparecerão neste mapa.,ไดฟ์ที่มีพิกัด GPS จะแสดงบนแผนที่นี้.,Chuyến lặn có tọa độ GPS sẽ xuất hiện trên bản đồ này.,含 GPS 坐标的潜水记录将显示在地图上。,含 GPS 座標的潛水記錄將顯示在地圖上。,OK
Done,Done,Done,Fertig,Τέλος,Hecho,Terminé,Gotovo,Selesai,Fine,完了,완료,Selesai,Gereed,Concluído,เสร็จสิ้น,Xong,完成,完成,OK
Duration: %d minutes,Duration: %d min,Duration: %d min,Tauchzeit: %d Min.,Διάρκεια: %d min,Tiempo de buceo: %d min,Durée de plongée : %d min,Trajanje: %d min,Durasi: %d min,Tempo di immersione: %d min,潜水時間：%d 分,잠수 시간: %d분,Tempoh: %d min,Duur: %d min,Tempo de mergulho: %d min,ระยะเวลา: %d min,Thời gian lặn: %d phút,潜水时间：%d 分钟,潛水時間：%d 分鐘,OK
EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,高氧,高氧,OK
Edit,Edit,Edit,Bearbeiten,Επεξεργασία,Editar,Modifier,Uredi,Edit,Modifica,編集,편집,Edit,Wijzig,Editar,แก้ไข,Sửa,编辑,編輯,OK
Edit Dive,Edit Dive,Edit Dive,Tauchgang bearbeiten,Επεξεργασία κατάδυσης,Editar inmersión,Modifier la plongée,Uredi uron,Edit Penyelaman,Modifica immersione,ダイビングを編集,다이빙 편집,Edit Selam,Wijzig duik,Editar mergulho,แก้ไขไดฟ์,Sửa chuyến lặn,编辑潜水,編輯潛水,OK
End Pressure,End Pressure,End Pressure,Enddruck,Πίεση λήξης,Presión final,Pression finale,Završni tlak,Tekanan akhir,Pressione finale,終了圧力,종료 압력,Tekanan akhir,Einddruk,Pressão final,ความดันสิ้นสุด,Áp lực cuối cùng,结束压力,結束壓力,OK
Enjoy an uninterrupted dive log experience.,Enjoy an uninterrupted dive log experience.,Enjoy an uninterrupted dive log experience.,Genießen Sie ein ungestörtes Taucherlogbuch-Erlebnis.,Απολαύστε μια αδιάλειπτη εμπειρία ημερολογίου καταδύσεων.,Disfruta de un diario de inmersiones sin interrupciones.,Profitez d'un carnet de plongée sans interruption.,Uživajte u neprekinutom ronilačkom logbooku.,Nikmati pengalaman logbook penyelaman tanpa gangguan.,Goditi un giornale di immersione senza interruzioni.,途切れることのないダイビングログ体験をお楽しみください。,중단 없는 다이빙 로그북을 경험해 보세요.,Nikmati pengalaman log selam tanpa gangguan.,Geniet van een ononderbroken duiklogboekervaring.,Desfrute de um diário de mergulhos sem interrupções.,เพลิดเพลินกับประสบการณ์บันทึกการดำน้ำแบบไม่สะดุด.,Tận hưởng trải nghiệm nhật ký lặn không bị gián đoạn.,享受不受干扰的潜水日志体验。,享受不受干擾的潛水日誌體驗。,OK
Enriched Air,Enriched Air,Enriched Air,Angereicherte Luft,Εμπλουτισμένος αέρας,Aire enriquecido,Air enrichi,Obogaćeni zrak,Udara Kaya,Aria arricchita,エンリッチドエア,농축 공기,Udara Kaya,Verrijkte lucht,Ar enriquecido,อากาศที่เข้มข้น,Không khí giàu,高氧,高氧,OK
Entry & Exit,Entry & Exit,Entry & Exit,Ein- und Ausstieg,Είσοδος και Έξοδος,Entrada y Salida,Entrée et Sortie,Ulazak i Izlazak,Masuk dan Keluar,Ingresso e Uscita,入水と出水,입수 및 출수,Masuk dan Keluar,In- en Uitgang,Entrada e Saída,เข้าน้ำและออกน้ำ,Vào Nước và Ra Nước,出入水时间,出入水時間,OK
Entry Time,Entry Time,Entry Time,Eintrittszeit,Ώρα εισόδου,Hora de entrada,Heure d'entrée,Vrijeme ulaska,Waktu masuk,Orario di ingresso,エントリー時刻,입수 시간,Waktu masuk,Inloggen tijd,Hora de entrada,เวลาลงน้ำ,Thời gian vào nước,入水时间,入水時間,OK
Environment,Environment,Environment,Umgebung,Περιβάλλον,Entorno,Environnement,Okolina,Lingkungan,Ambiente,環境,환경,Persekitaran,Omgeving,Ambiente,สภาพแวดล้อม,Môi trường lặn,环境,環境,OK
Equipment,Equipment,Equipment,Ausrüstung,Εξοπλισμός,Equipamiento,Équipement,Oprema,Peralatan,Attrezzatura,器材,장비,Peralatan,Uitrusting,Equipamento,อุปกรณ์,Thiết bị,潜水装备,潛水裝備,OK
Exit Time,Exit Time,Exit Time,Austrittszeit,Ώρα εξόδου,Hora de salida,Heure de sortie,Vrijeme izlaska,Waktu keluar,Orario di uscita,エグジット時刻,출수 시간,Waktu keluar,Afsluiten tijd,Hora de saída,เวลาออกน้ำ,Thời gian thoát nước,出水时间,出水時間,OK
File %lld of %lld,File %1$lld of %2$lld,File %1$lld of %2$lld,Datei %1$lld von %2$lld,Αρχείο %1$lld από %2$lld,Archivo %1$lld de %2$lld,Fichier %1$lld sur %2$lld,Datoteka %1$lld od %2$lld,File %1$lld dari %2$lld,File %1$lld di %2$lld,ファイル %1$lld / %2$lld,파일 %1$lld/%2$lld,Fail %1$lld daripada %2$lld,Bestand %1$lld van %2$lld,Ficheiro %1$lld de %2$lld,ไฟล์ %1$lld จาก %2$lld,Tệp %1$lld trong %2$lld,第 %1$lld 个文件（共 %2$lld 个）,第 %1$lld 個檔案（共 %2$lld 個）,OK
Freshwater,Freshwater,Freshwater,Süßwasser,Γλυκό νερό,Agua dulce,Eau douce,Slatka voda,Air Tawar,Acqua dolce,淡水,담수,Air Tawar,Zoet water,Água doce,น้ำจืด,Nước ngọt,淡水,淡水,OK
Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,OK
Gas,Gas,Gas,Gas,Αέριο,Gas,Gaz,Plin,Gas,Gas,ガス,기체,Gas,Gas,Gás,แก๊ส,Khí lặn,气体,氣體,OK
Gas Mix,Gas Mix,Gas Mix,Gasgemisch,Μείγμα αερίου,Mezcla de gases,Mélange de gaz,Mješavina plina,Campuran Gas,Miscela gas,混合ガス,기체 믹스,Campuran Gas,Gasmengsel,Mistura de gases,แก๊สผสม,Khí trộn,混合气体,混合氣體,OK
"Hello, world!","Hello, world!","Hello, world!",Hallo Welt!,"Γεια σου, κόσμε!","¡Hola, mundo!",Bonjour le monde !,"Pozdrav, svijete!","Halo, dunia!","Ciao, mondo!",こんにちは、世界！,"안녕, 세상아!","Helo, dunia!",Hallo wereld!,"Olá, mundo!",สวัสดีชาวโลก!,Chào thế giới!,你好，世界！,你好，世界！,OK
Import,Import,Import,Import,Εισαγωγή,Importar,Importer,Uvoz,Impor,Importa,取り込み,가져오기,Import,Importeer,Importar,นำเข้า,Nhập dữ liệu,导入,匯入,OK
Import Dives,Import Dives,Import Dives,Tauchgänge importieren,Εισαγωγή καταδύσεων,Importar inmersiones,Importer des plongées,Uvezi urone,Impor Penyelaman,Importa immersioni,ダイビングを読み込む,다이빙 가져오기,Import Selam,Importeer duiken,Importar mergulhos,นำเข้าไดฟ์,Nhập chuyến lặn,导入潜水记录,匯入潛水記錄,OK
Import Failed,Import Failed,Import Failed,Import fehlgeschlagen,Αποτυχία εισαγωγής,Error al importar,Échec de l'import,Uvoz nije uspio,Impor Gagal,Importazione fallita,読み込み失敗,가져오기 실패,Import Gagal,Importen mislukt,Falha na importação,นำเข้าล้มเหลว,Nhập thất bại,导入失败,匯入失敗,OK
Import Successful,Import Successful,Import Successful,Import erfolgreich,Επιτυχής εισαγωγή,Importación exitosa,Import réussi,Uvoz uspješan,Impor Berhasil,Importazione completata,読み込み成功,가져오기 성공,Import Berjaya,Import geslaagd,Importação com sucesso,นำเข้าสำเร็จ,Nhập thành công,导入成功,匯入成功,OK
