Key (原文),使用情境,en,en-GB,zh-Hant,zh-Hans,ja,ko,de,fr,es,it,nl,pt-PT,el,hr,id,ms,th,vi
%lld skipped (duplicates),A label that indicates how many dives were skipped because they were already in the database.,%lld skipped (duplicates),%lld skipped (duplicates),已跳過 %lld 筆（重複）,已跳过 %lld 笔（重复）,%lld 件スキップ（重複）,%lld개 건너뜀 (중복),%lld übersprungen (Duplikate),%lld doublons ignorés,%lld duplicados omitidos,%lld duplicati ignorati,%lld overgeslagen (duplicaten),%lld duplicados ignorados,%lld παραλείφθηκαν (διπλότυπα),%lld preskočeno (duplikati),%lld dilewati (duplikat),%lld dilangkau (pendua),ข้าม %lld ไดฟ์ (ซ้ำ),Đã bỏ qua %lld lượt lặn trùng lặp
%lld%%,A label displaying the percentage of oxygen in a nitrogen/oxygen (NO₂) mixture. The value is bound to a `@Binding` property.,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%,%lld%%
%lldm,A label displaying a depth value in meters.,%lld m,%lld m,%lld m,%lld m,%lld m,%lld m,%lld m,%lld m,%lld m,%lld m,%lld m,%lld m,%lld μ.,%lld m,%lld m,%lld m,%lld ม.,%lld m
%lldmin,A label displaying the time in minutes.,%lld min,%lld min,%lld 分鐘,%lld 分钟,%lld 分,%lld분,%lld Min.,%lld min,%lld min,%lld min,%lld min,%lld min,%lld λεπ.,%lld min,%lld mnt,%lld min,%lld นาที,%lld phút
10L (Steel),出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,,,,,,,,,,,,,,,,,,
12L (Steel),出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,,,,,,,,,,,,,,,,,,
AL100 (14L),出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,,,,,,,,,,,,,,,,,,
About,Settings section header｜出現於：SettingsView.swift,About,About,關於,关于,情報,정보,Über,À propos,Acerca de,Info,Over,Sobre,Σχετικά,O aplikaciji,Tentang,Mengenai,เกี่ยวกับ,Giới thiệu
Active,"Status label｜出現於：AdBannerView.swift, Extensions.swift, SettingsView.swift",Active,Active,已啟用,已启用,有効,활성,Aktiv,Actif,Activo,Attivo,Actief,Ativo,Ενεργό,Aktivno,Aktif,Aktif,เปิดใช้งาน,Hoạt động
Add New Dive,"Accessibility label for + button｜出現於：LogbookContainerView.swift, MainTabView.swift",Add New Dive,Add New Dive,新增潛水,新增潜水,新しいダイビングを追加,새 다이빙 추가,Tauchgang hinzufügen,Ajouter une plongée,Añadir inmersión,Aggiungi immersione,Voeg duik toe,Adicionar mergulho,Προσθήκη κατάδυσης,Dodaj novi uron,Tambah Penyelaman Baru,Tambah Selam Baru,เพิ่มไดฟ์ใหม่,Thêm lặn mới
Air,"Gas mix: air｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift, DiveRowView.swift, DiveSiteSheetView.swift, 等共 7 個檔案",Air,Air,空氣,空气,空気,공기,Luft,Air,Aire,Aria,Lucht,Ar,Αέρας,Zrak,Udara,Udara,อากาศ,Không khí
Air Temperature,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Air Temperature,Air Temperature,氣溫,气温,気温,기온,Lufttemperatur,Température de l'air,Temperatura del aire,Temperatura dell'aria,Luchttemperatuur,Temperatura do ar,Θερμοκρασία αέρα,Temperatura zraka,Suhu udara,Suhu udara,อุณหภูมิอากาศ,Nhiệt độ không khí
Air Temperature: %.1f degrees Celsius,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Air Temperature: %.1f °C,Air Temperature: %.1f °C,氣溫：%.1f °C,气温：%.1f °C,気温：%.1f °C,기온: %.1f °C,Lufttemperatur: %.1f °C,Température de l'air : %.1f °C,Temperatura del aire: %.1f °C,Temperatura dell'aria: %.1f °C,Luchttemperatuur: %.1f °C,Temperatura do ar: %.1f °C,Θερμοκρασία αέρα: %.1f °C,Temperatura zraka: %.1f °C,Suhu udara: %.1f °C,Suhu udara: %.1f °C,อุณหภูมิอากาศ: %.1f °C,Nhiệt độ không khí: %.1f °C
Air Temperature: %@,出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,Air Temperature: %@,Air Temperature: %@,氣溫：%@,气温：%@,気温：%@,기온: %@,Lufttemperatur: %@,Température de l'air : %@,Temperatura del aire: %@,Temperatura dell'aria: %@,Luchttemperatuur: %@,Temperatura do ar: %@,Θερμοκρασία αέρα: %@,Temperatura zraka: %@,Suhu Udara: %@,Suhu Udara: %@,อุณหภูมิอากาศ: %@,Nhiệt độ không khí: %@
Air Temperature: Not recorded,出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,Air Temperature: Not recorded,Air Temperature: Not recorded,氣溫：未記錄,气温：未记录,気温：未記録,기온: 기록 없음,Lufttemperatur: Nicht erfasst,Température de l'air : Non enregistré,Temperatura del aire: No registrado,Temperatura dell'aria: Non registrato,Luchttemperatuur: Niet geregistreerd,Temperatura do ar: Não registado,Θερμοκρασία αέρα: Δεν καταγράφηκε,Temperatura zraka: Nije zabilježeno,Suhu udara: Tidak tercatat,Suhu udara: Tidak direkodkan,อุณหภูมิอากาศ: ไม่ได้บันทึก,Nhiệt độ không khí: Không ghi nhận
Altitude,"Dive environment type｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift, DiveSiteSheetView.swift",Altitude,Altitude,高海拔,高海拔,高地,고도,Höhe,Altitude,Altitud,Altitudine,Altitude,Altitude,Υψόμετρο,Nadmorska visina,Ketinggian,Altitud,ความสูง,Altitude
Aluminum,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Aluminum,Aluminium,鋁,铝,アルミニウム,알루미늄,Aluminium,Aluminium,Aluminio,Alluminio,Aluminium,Alumínio,Αλουμίνιο,Aluminijum,Aluminium,Aluminium,อลูมิเนียม,Nhôm
App Language,Settings row label｜出現於：SettingsView.swift,App Language,App Language,App 語言,App 语言,Appの言語,앱 언어,App-Sprache,Langue de l'app,Idioma de la app,Lingua dell'app,App-taal,Idioma da app,Γλώσσα εφαρμογής,Jezik aplikacije,Bahasa Aplikasi,Bahasa Aplikasi,ภาษาแอป,Ngôn ngữ ứng dụng
Ascent Rate Alert,出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,Ascent Rate Alert,Ascent Rate Alert,上升速度警報,上升速度警报,浮上速度警告,상승 속도 경고,Aufstiegsgeschwindigkeit-Warnung,Alerte de vitesse de remontée,Alerta de velocidad de ascenso,Avviso velocità di risalita,Waarschuwing stijgsnelheid,Alerta de velocidade de subida,Ειδοποίηση Ταχύτητας Ανόδου,Upozorenje o brzini uspona,Peringatan Kecepatan Naik,Amaran Kadar Menaik,แจ้งเตือนอัตราการขึ้นสู่ผิวน้ำ,Cảnh báo tốc độ nổi
Ascent rate exceeded 10 m/min (32.8 ft/min).,出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,Ascent rate exceeded 10 m/min (32.8 ft/min).,Ascent rate exceeded 10 m/min (32.8 ft/min).,上升速度超過10公尺/分(32.8英呎/分)。,上升速度超过10公尺/分(32.8英尺/分)。,浮上速度が10 m/分（32.8 ft/分）を超えました。,상승 속도가 10 m/분(32.8 ft/분)을 초과했습니다.,"Die Aufstiegsgeschwindigkeit hat 10 m/min (32,8 ft/min) überschritten.","La vitesse de remontée a dépassé 10 m/min (32,8 pi/min).","La velocidad de ascenso superó los 10 m/min (32,8 pies/min).","La velocità di risalita ha superato 10 m/min (32,8 ft/min).","De stijgsnelheid overschreed 10 m/min (32,8 ft/min).","A velocidade de subida excedeu 10 m/min (32,8 pés/min).","Η ταχύτητα ανόδου ξεπέρασε τα 10 μ/λεπτό (32,8 πόδια/λεπτό).","Brzina uspona premašila je 10 m/min (32,8 ft/min).",Kecepatan naik melebihi 10 m/menit (32.8 ft/menit).,Kadar menaik melebihi 10 m/min (32.8 ka/min).,อัตราการขึ้นสู่ผิวน้ำเกิน 10 ม./นาที (32.8 ฟุต/นาที),"Tốc độ nổi vượt quá 10 m/phút (32,8 ft/phút)."
Auto-detects format from file content,Import wizard subtitle｜出現於：ImportWizardView.swift,Auto-detects format from file content,Auto-detects format from file content,自動從檔案內容偵測格式,自动从文件内容检测格式,ファイル内容から形式を自動検出,파일 내용에서 형식 자동 감지,Format automatisch erkennen,Détection automatique du format,Detecta formato del contenido,Rileva formato dal contenuto,Formaat automatisch detecteren,Deteta o formato pelo conteúdo,Αυτόματη ανίχνευση μορφής,Automatski detektira format,Deteksi otomatis format file,Kesan format secara automatik,ตรวจพบรูปแบบอัตโนมัติ,Tự động phát hiện định dạng
Average Depth,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Average Depth,Average Depth,平均深度,平均深度,平均深度,평균 깊이,Durchschnittliche Tiefe,Profondeur moyenne,Profundidad promedio,Profondità media,Gemiddelde diepte,Profundidade média,Μέσο βάθος,Prosječna dubina,Kedalaman rata-rata,Kedalaman rata-rata,ความลึกเฉลี่ย,Độ sâu trung bình
Avg Depth,出現於：DiveLogDetailView.swift（無額外註解，請對照原始碼判斷情境）,Avg Depth,Avg Depth,平均深度,平均深度,平均水深,평균 수심,Durchschnittstiefe,Profondeur Moyenne,Profundidad Media,Profondità Media,Gemiddelde Diepte,Profundidade Média,Μέσο Βάθος,Prosječna Dubina,Kedalaman Rata-rata,Kedalaman Purata,ความลึกเฉลี่ย,Độ Sâu Trung Bình
Backup,"出現於：DiveImportKitAdapter.swift, DiveLogBackup.swift, DiveLogDatabase.swift, DiveLogModelTests.swift, 等共 5 個檔案（無額外註解，請對照原始碼判斷情境）",Backup,Backup,備份,备份,バックアップ,백업,Sicherung,Sauvegarde,Copia de Seguridad,Backup,Back-up,Cópia de Segurança,Αντίγραφο Ασφαλείας,Sigurnosna Kopija,Cadangan,Sandaran,สำรองข้อมูล,Sao Lưu
Basic Info,Section header for basic dive information｜出現於：DiveLogEditSheet.swift,Basic Info,Basic Info,基本資訊,基本信息,基本情報,기본 정보,Basisinfos,Infos de base,Información básica,Info di base,Basisinformatie,Informações básicas,Βασικές πληροφορίες,Osnovne informacije,Info Dasar,Maklumat Asas,ข้อมูลพื้นฐาน,Thông tin cơ bản
Buddy,出現於：DiveLogDetailView.swift（無額外註解，請對照原始碼判斷情境）,Buddy,Buddy,潛伴,潜伴,バディ,버디,Buddy,Binôme,Compañero,Compagno,Duikmaatje,Companheiro de Mergulho,Συνοδός Κατάδυσης,Ronilački Par,Buddy Selam,Rakan Selam,บัดดี้,Bạn Lặn
Buy Premium for %@,Accessibility label｜出現於：SettingsView.swift,Buy Premium for %@,Buy Premium for %@,以 %@ 購買進階版,以 %@ 购买专业版,%@でプレミアムを購入,%@으로 프리미엄 구매,Premium kaufen für %@,Acheter Premium pour %@,Comprar Premium por %@,Acquista Premium per %@,Koop Premium voor %@,Comprar Premium por %@,Αγορά Premium για %@,Kupi Premium za %@,Beli Premium seharga %@,Beli Premium untuk %@,ซื้อพรีเมียมในราคา %@,Mua Premium với giá %@
Calm,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Calm,Calm,平靜,平静,穏やか,잔잔,Ruhig,Calme,Calma,Calmo,Kalm,Calmo,Ήσυχα,Mirno,Tenang,Tenang,สงบ,Yên tĩnh
Cancel,"Cancel button｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift, PurchaseManager.swift",Cancel,Cancel,取消,取消,キャンセル,취소,Abbrechen,Annuler,Cancelar,Annulla,Annuleer,Cancelar,Ακύρωση,Odustani,Batal,Batal,ยกเลิก,Hủy
Ceiling,"出現於：DiveAnalysisView.swift, DiveReplayEngine.swift, DiveReplayEngineTests.swift, Extensions.swift（無額外註解，請對照原始碼判斷情境）",Ceiling,Ceiling,減壓天花板,减压天花板,シーリング,실링,Decotiefe,Plafond,Techo,Ceiling,Ceiling,Teto,Οροφή,Strop,Ceiling,Siling,เพดาน,Trần
Clear,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift, SettingsView.swift（無額外註解，請對照原始碼判斷情境）",Clear,Clear,晴空萬里,晴空万里,晴天,맑음,Klar,Dégagé,Despejado,Limpido,Helder,Céu limpo,Καθαρός,Čisto,Jernih,Jernih,ท้องฟ้าโปร่ง,Trời quang
Close,"Dismiss button｜出現於：MapView.swift, SettingsView.swift",Close,Close,關閉,关闭,閉じる,닫기,Schließen,Fermer,Cerrar,Chiudi,Sluit,Fechar,Κλείσιμο,Zatvori,Tutup,Tutup,ปิด,Đóng
Cloudy,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Cloudy,Cloudy,多雲,多云,曇り,흐림,Bewölkt,Nuageux,Nublado,Nuvoloso,Bewolkt,Nublado,Νεφελώδης,Oblačno,Berawan,Berawan,มีเมฆ,Có mây
Conditions,"Detail view section header｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift",Conditions,Conditions,環境條件,环境条件,コンディション,컨디션,Bedingungen,Conditions,Condiciones,Condizioni,Omstandigheden,Condições,Συνθήκες,Uvjeti,Kondisi,Keadaan,สภาพแวดล้อม,Điều kiện
Coordinates,"Dive detail field label｜出現於：DiveLogDetailView.swift, DiveSiteSheetView.swift",Coordinates,Coordinates,座標,坐标,座標,좌표,Koordinaten,Coordonnées,Coordenadas,Coordinate,Coördinaten,Coordenadas,Συντεταγμένες,Koordinate,Koordinat,Koordinat,พิกัด,Tọa độ
Cylinder Material,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Cylinder Material,Cylinder Material,氣瓶材質,气瓶材质,シリンダーマテリアル,실린더 재료,Zylindermaterial,Matériau du cylindre,Material del cilindro,Materiale della bombola,Cilindermaterialen,Material do cilindro,Υλικό κυλίνδρου,Materijal cilindra,Material silinder,Bahan silinder,วัสดุถังดำน้ำ,Chất liệu bình khí
Cylinder Size,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Cylinder Size,Cylinder Size,氣瓶容量,气瓶容量,シリンダーサイズ,실린더 크기,Zylindergröße,Taille du cylindre,Tamaño del cilindro,Dimensioni della bombola,Cylindergrootte,Tamanho do cilindro,Μέγεθος κυλίνδρου,Veličina cilindra,Ukuran silinder,Ukuran silinder,ขนาดถังดำน้ำ,Dung tích bình khí
Date & Time,DatePicker label,Date & Time,Date & Time,日期與時間,日期与时间,日時,날짜 및 시간,Datum & Uhrzeit,Date et heure,Fecha y hora,Data e ora,Datum en tijd,Data e hora,Ημερομηνία & Ώρα,Datum i vrijeme,Tanggal & Waktu,Tarikh & Masa,วันที่และเวลา,Ngày & Giờ
Decompression Analysis,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Decompression Analysis,Decompression Analysis,減壓分析,减压分析,減圧分析,감압 분석,Dekompressionsanalyse,Analyse de Décompression,Análisis de Descompresión,Analisi di Decompressione,Decompressieanalyse,Análise de Descompressão,Ανάλυση Αποσυμπίεσης,Analiza Dekompresije,Analisis Dekompresi,Analisis Dekompresi,การวิเคราะห์การลดความดัน,Phân Tích Giảm Áp
Deepest,Stats header label｜出現於：DiveLogListView.swift,Deepest,Deepest,最深,最深,最深,최고 수심,Tiefste,Le plus profond,Más profundo,Più profondo,Diepste,Mais profundo,Βαθύτερη,Najdublje,Terdalam,Paling dalam,ลึกที่สุด,Sâu nhất
Delete,"出現於：DiveCalendarView.swift, DiveLogDetailView.swift, DiveLogListView.swift, MainTabView.swift（無額外註解，請對照原始碼判斷情境）",Delete,Delete,刪除,删除,削除,삭제,Löschen,Supprimer,Eliminar,Elimina,Verwijder,Apagar,Διαγραφή,Izbriši,Hapus,Padam,ลบ,Xóa
Delete Dive,出現於：DiveLogDetailView.swift（無額外註解，請對照原始碼判斷情境）,Delete Dive,Delete Dive,刪除潛水,删除潜水,ダイビングを削除,다이빙 삭제,Tauchgang löschen,Supprimer la plongée,Eliminar inmersión,Elimina immersione,Verwijder duik,Apagar mergulho,Διαγραφή κατάδυσης,Izbriši uron,Hapus Penyelaman,Padam Selam,ลบไดฟ์,Xóa chuyến lặn
Delete this dive log?,出現於：DiveLogDetailView.swift（無額外註解，請對照原始碼判斷情境）,Delete this dive log?,Delete this dive log?,刪除這筆潛水紀錄？,删除这条潜水记录？,このダイブログを削除しますか？,이 다이빙 로그를 삭제하시겠습니까?,Dieses Tauchprotokoll löschen?,Supprimer ce carnet de plongée ?,¿Eliminar este registro de inmersión?,Eliminare questo log d'immersione?,Dit duiklogboek verwijderen?,Apagar este registo de mergulho?,Διαγραφή αυτού του αρχείου καταδύσεων;,Izbrisati ovaj dnevnik urona?,Hapus log penyelaman ini?,Padam log selam ini?,ลบบันทึกการดำน้ำนี้หรือไม่?,Xóa nhật ký lặn này?
Depth,"The depth at which the area of the dive profile chart is filled.｜出現於：DiveAnalysisView.swift, DiveImportKitAdapter.swift, DiveImportKitAdapterTests.swift, DiveLog.swift, 等共 22 個檔案",Depth,Depth,深度,深度,水深,수심,Tiefe,Profondeur,Profundidad,Profondità,Diepte,Profundidade,Βάθος,Dubina,Kedalaman,Kedalaman,ความลึก,Độ sâu
Device Firmware,出現於：DiveLogDetailView.swift（無額外註解，請對照原始碼判斷情境）,Device Firmware,Device Firmware,裝置韌體,设备固件,ファームウェア,기기 펌웨어,Geräte-Firmware,Firmware de l'Appareil,Firmware del Dispositivo,Firmware del Dispositivo,Apparaat Firmware,Firmware do Dispositivo,Υλικολογισμικό Συσκευής,Firmver Uređaja,Firmware Perangkat,Firmware Peranti,เฟิร์มแวร์อุปกรณ์,Firmware Thiết Bị
Device Model,出現於：DiveLogDetailView.swift（無額外註解，請對照原始碼判斷情境）,Device Model,Device Model,裝置型號,设备型号,機種,기기 모델,Gerätemodell,Modèle de l'Appareil,Modelo del Dispositivo,Modello Dispositivo,Apparaatmodel,Modelo do Dispositivo,Μοντέλο Συσκευής,Model Uređaja,Model Perangkat,Model Peranti,รุ่นอุปกรณ์,Kiểu Máy
Device Serial,出現於：DiveLogDetailView.swift（無額外註解，請對照原始碼判斷情境）,Device Serial,Device Serial,裝置序號,设备序列号,シリアル番号,기기 일련번호,Geräteseriennummer,Numéro de Série de l'Appareil,Número de Serie del Dispositivo,Numero di Serie del Dispositivo,Apparaat Serienummer,Número de Série do Dispositivo,Σειριακός Αριθμός Συσκευής,Serijski Broj Uređaja,Nomor Seri Perangkat,Nombor Siri Peranti,หมายเลขซีเรียลอุปกรณ์,Số Sê-ri Thiết Bị
Dive Data,"Section header for dive data fields｜出現於：DiveLogEditSheet.swift, Extensions.swift",Dive Data,Dive Data,潛水數據,潜水数据,ダイビングデータ,다이빙 데이터,Tauchdaten,Données de plongée,Datos de la inmersión,Dati immersione,Duikgegevens,Dados de mergulho,Δεδομένα κατάδυσης,Podaci o uronu,Data Penyelaman,Data Selam,ข้อมูลไดฟ์,Dữ liệu lặn
Dive Data & Time,Section header for dive data and time information｜出現於：DiveLogEditSheet.swift,Dive Data & Time,Dive Data & Time,潛水數據與時間,潜水数据与时间,ダイビングデータと日時,다이빙 데이터 및 시간,Tauchdaten & Zeit,Données & heure de plongée,Datos y hora de inmersión,Dati & ora dell'immersione,Duikgegevens & tijd,Dados e hora do mergulho,Δεδομένα & Ώρα κατάδυσης,Podaci i vrijeme urona,Data & Waktu Penyelaman,Data & Masa Selam,ข้อมูลและเวลาดำน้ำ,Dữ liệu & thời gian lặn
Dive Details,Navigation title for detail view｜出現於：DiveLogDetailView.swift,Dive Details,Dive Details,潛水詳細資料,潜水详情,ダイビングの詳細,다이빙 상세 정보,Tauchdetails,Détails de la plongée,Detalles de la inmersión,Dettagli immersione,Duikdetails,Detalhes do mergulho,Λεπτομέρειες κατάδυσης,Detalji urona,Detail Penyelaman,Butiran Selam,รายละเอียดไดฟ์,Chi tiết chuyến lặn
Dive Info,"Detail view section header｜出現於：DiveLogDetailView.swift, DiveSiteSheetView.swift",Dive Info,Dive Info,潛水資訊,潜水信息,ダイビング情報,다이빙 정보,Tauchinfos,Infos de plongée,Información de inmersión,Info immersione,Duikinfo,Informações do mergulho,Πληροφορίες κατάδυσης,Informacije o uronu,Informasi Penyelaman,Maklumat Selam,ข้อมูลทั่วไป,Thông tin chuyến lặn
Dive Logbook,"Main logbook navigation title｜出現於：DiveCalendarView.swift, DiveLogListView.swift, LogbookContainerView.swift, MainTabView.swift",Dive Logbook,Dive Logbook,潛水日誌,潜水日志,ダイビングログ,다이빙 로그북,Taucherlogbuch,Carnet de plongée,Diario de inmersiones,Giornale di immersione,Duiklogboek,Diário de mergulhos,Ημερολόγιο καταδύσεων,Ronilački logbook,Logbook Penyelaman,Log selam,สมุดบันทึกการดำน้ำ,Nhật ký lặn
Dive Notes,出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,Dive Notes,Dive Notes,潛水備註,潜水备注,ダイビングノート,다이빙 메모,Tauch-Notizen,Notes de Plongée,Notas de Buceo,Note di Immersione,Duikaantekeningen,Notas de Mergulho,Σημειώσεις Κατάδυσης,Bilješke Urona,Catatan Penyelaman,Nota Menyelam,บันทึกการดำน้ำ,Ghi Chú Lặn
Dive Number,出現於：DiveLogDetailView.swift（無額外註解，請對照原始碼判斷情境）,Dive Number,Dive Number,潛水編號,潜水编号,潜水番号,다이브 번호,Tauchgangsnummer,Numéro de Plongée,Número de Inmersión,Numero Immersione,Duiknummer,Número do Mergulho,Αριθμός Κατάδυσης,Broj Ronjenja,Nomor Penyelaman,Nombor Selaman,หมายเลขการดำน้ำ,Số Thứ Tự Lặn
Dive Profile,A label displayed above the dive profile chart.｜出現於：DiveLogDetailView.swift,Dive Profile,Dive Profile,潛水剖面圖,潜水剖面图,ダイブプロフィール図,다이빙 프로필,Tauchprofil,Profil de plongée,Perfil de inmersión,Profilo di immersione,Duikprofiel,Perfil de mergulho,Προφίλ κατάδυσης,Profil urona,Profil Penyelaman,Profil Selam,โปรไฟล์การดำน้ำ,Biểu đồ hồ sơ lặn
Dive Site,"TextField placeholder for dive site｜出現於：DiveLogEditSheet.swift, MapView.swift",Dive Site,Dive Site,潛水地點,潜水地点,ダイビングポイント,다이빙 사이트,Tauchplatz,Site de plongée,Punto de inmersión,Punto di immersione,Duiklocatie,Local de mergulho,Τοποθεσία κατάδυσης,Lokacija urona,Lokasi Penyelaman,Tapak Selam,จุดดำน้ำ,Địa điểm lặn
